1.980e+02,4.728e-241
2.073e+02,,7.242e-18
2.073e+02,,7.241e-18
2.073e+02,,7.240e-18
2.073e+02,,7.238e-18
2.074e+02,,7.235e-18
2.074e+02,,7.232e-18
2.074e+02,,7.231e-18
2.074e+02,,7.232e-18
2.074e+02,,7.236e-18
2.075e+02,,7.241e-18
2.075e+02,,7.248e-18
2.075e+02,,7.254e-18
2.075e+02,,7.257e-18
2.075e+02,,7.256e-18
2.076e+02,,7.252e-18
2.076e+02,,7.247e-18
2.076e+02,,7.243e-18
2.076e+02,,7.241e-18
2.076e+02,,7.242e-18
2.077e+02,,7.244e-18
2.077e+02,,7.242e-18
2.077e+02,,7.233e-18
2.077e+02,,7.212e-18
2.077e+02,,7.178e-18
2.078e+02,,7.133e-18
2.078e+02,,7.081e-18
2.078e+02,,7.032e-18
2.078e+02,,6.995e-18
2.078e+02,,6.978e-18
2.079e+02,,6.988e-18
2.079e+02,,7.022e-18
2.079e+02,,7.075e-18
2.079e+02,,7.135e-18
2.079e+02,,7.191e-18
2.080e+02,,7.230e-18
2.080e+02,,7.244e-18
2.080e+02,,7.231e-18
2.080e+02,,7.196e-18
2.080e+02,,7.151e-18
2.081e+02,,7.110e-18
2.081e+02,,7.087e-18
2.081e+02,,7.095e-18
2.081e+02,,7.137e-18
2.081e+02,,7.211e-18
2.082e+02,,7.304e-18
2.082e+02,,7.401e-18
2.082e+02,,7.480e-18
2.082e+02,,7.523e-18
2.082e+02,,7.519e-18
2.083e+02,,7.463e-18
2.083e+02,,7.361e-18
2.083e+02,,7.231e-18
2.083e+02,,7.093e-18
2.083e+02,,6.975e-18
2.084e+02,,6.900e-18
2.084e+02,,6.886e-18
2.084e+02,,6.941e-18
2.084e+02,,7.064e-18
2.084e+02,,7.240e-18
2.085e+02,,7.445e-18
2.085e+02,,7.649e-18
2.085e+02,,7.823e-18
2.085e+02,,7.941e-18
2.085e+02,,7.984e-18
2.086e+02,,7.947e-18
2.086e+02,,7.838e-18
2.086e+02,,7.676e-18
2.086e+02,,7.489e-18
2.086e+02,,7.312e-18
2.087e+02,,7.175e-18
2.087e+02,,7.108e-18
2.087e+02,,7.127e-18
2.087e+02,,7.236e-18
2.087e+02,,7.426e-18
2.088e+02,,7.673e-18
2.088e+02,,7.946e-18
2.088e+02,,8.204e-18
2.088e+02,,8.409e-18
2.088e+02,,8.527e-18
2.089e+02,,8.534e-18
2.089e+02,,8.421e-18
2.089e+02,,8.193e-18
2.089e+02,,7.867e-18
2.089e+02,,7.477e-18
2.090e+02,,7.059e-18
2.090e+02,,6.656e-18
2.090e+02,,6.309e-18
2.090e+02,,6.051e-18
2.090e+02,,5.911e-18
2.091e+02,,5.906e-18
2.091e+02,,6.040e-18
2.091e+02,,6.307e-18
2.091e+02,,6.688e-18
2.091e+02,,7.153e-18
2.092e+02,,7.663e-18
2.092e+02,,8.171e-18
2.092e+02,,8.630e-18
2.092e+02,,8.995e-18
2.092e+02,,9.228e-18
2.093e+02,,9.304e-18
2.093e+02,,9.215e-18
2.093e+02,,8.969e-18
2.093e+02,,8.588e-18
2.093e+02,,8.109e-18
2.094e+02,,7.577e-18
2.094e+02,,7.039e-18
2.094e+02,,6.541e-18
2.094e+02,,6.124e-18
2.094e+02,,5.822e-18
2.095e+02,,5.660e-18
2.095e+02,,5.652e-18
2.095e+02,,5.804e-18
2.095e+02,,6.112e-18
2.095e+02,,6.560e-18
2.096e+02,,7.122e-18
2.096e+02,,7.762e-18
2.096e+02,,8.435e-18
2.096e+02,,9.087e-18
2.096e+02,,9.666e-18
2.097e+02,,1.012e-17
2.097e+02,,1.040e-17
2.097e+02,,1.049e-17
2.097e+02,,1.038e-17
2.097e+02,,1.006e-17
2.098e+02,,9.576e-18
2.098e+02,,8.959e-18
2.098e+02,,8.258e-18
2.098e+02,,7.525e-18
2.098e+02,,6.808e-18
2.099e+02,,6.151e-18
2.099e+02,,5.586e-18
2.099e+02,,5.139e-18
2.099e+02,,4.827e-18
2.099e+02,,4.660e-18
2.100e+02,,4.645e-18
2.100e+02,,4.785e-18
2.100e+02,,5.080e-18
2.100e+02,,5.528e-18
2.100e+02,,6.119e-18
2.101e+02,,6.835e-18
2.101e+02,,7.651e-18
2.101e+02,,8.527e-18
2.101e+02,,9.416e-18
2.101e+02,,1.026e-17
2.102e+02,,1.100e-17
2.102e+02,,1.157e-17
2.102e+02,,1.193e-17
2.102e+02,,1.205e-17
2.102e+02,,1.191e-17
2.103e+02,,1.153e-17
2.103e+02,,1.094e-17
2.103e+02,,1.018e-17
2.103e+02,,9.310e-18
2.103e+02,,8.389e-18
2.104e+02,,7.472e-18
2.104e+02,,6.606e-18
2.104e+02,,5.824e-18
2.104e+02,,5.150e-18
2.104e+02,,4.596e-18
2.105e+02,,4.166e-18
2.105e+02,,3.858e-18
2.105e+02,,3.671e-18
2.105e+02,,3.600e-18
2.105e+02,,3.646e-18
2.106e+02,,3.810e-18
2.106e+02,,4.098e-18
2.106e+02,,4.516e-18
2.106e+02,,5.072e-18
2.106e+02,,5.768e-18
2.107e+02,,6.602e-18
2.107e+02,,7.559e-18
2.107e+02,,8.614e-18
2.107e+02,,9.725e-18
2.107e+02,,1.084e-17
2.108e+02,,1.189e-17
2.108e+02,,1.280e-17
2.108e+02,,1.351e-17
2.108e+02,,1.396e-17
2.108e+02,,1.411e-17
2.109e+02,,1.395e-17
2.109e+02,,1.349e-17
2.109e+02,,1.277e-17
2.109e+02,,1.185e-17
2.109e+02,,1.079e-17
2.110e+02,,9.665e-18
2.110e+02,,8.537e-18
